Solutions found: 288
Are solutions unique? True
Are solutions correct? True
(2, 15, 36, 47)
(2, 15, 37, 46)
(2, 15, 46, 37)
(2, 15, 47, 36)
(2, 16, 35, 47)
(2, 16, 37, 45)
(2, 16, 45, 37)
(2, 16, 47, 35)
(2, 17, 35, 46)
(2, 17, 36, 45)
(2, 17, 45, 36)
(2, 17, 46, 35)
(2, 35, 16, 47)
(2, 35, 17, 46)
(2, 35, 46, 17)
(2, 35, 47, 16)
(2, 36, 15, 47)
(2, 36, 17, 45)
(2, 36, 45, 17)
(2, 36, 47, 15)
(2, 37, 15, 46)
(2, 37, 16, 45)
(2, 37, 45, 16)
(2, 37, 46, 15)
(2, 45, 16, 37)
(2, 45, 17, 36)
(2, 45, 36, 17)
(2, 45, 37, 16)
(2, 46, 15, 37)
(2, 46, 17, 35)
(2, 46, 35, 17)
(2, 46, 37, 15)
(2, 47, 15, 36)
(2, 47, 16, 35)
(2, 47, 35, 16)
(2, 47, 36, 15)
(3, 14, 26, 57)
(3, 14, 27, 56)
(3, 14, 56, 27)
(3, 14, 57, 26)
(3, 16, 24, 57)
(3, 16, 27, 54)
(3, 16, 54, 27)
(3, 16, 57, 24)
(3, 17, 24, 56)
(3, 17, 26, 54)
(3, 17, 54, 26)
(3, 17, 56, 24)
(3, 24, 16, 57)
(3, 24, 17, 56)
(3, 24, 56, 17)
(3, 24, 57, 16)
(3, 26, 14, 57)
(3, 26, 17, 54)
(3, 26, 54, 17)
(3, 26, 57, 14)
(3, 27, 14, 56)
(3, 27, 16, 54)
(3, 27, 54, 16)
(3, 27, 56, 14)
(3, 54, 16, 27)
(3, 54, 17, 26)
(3, 54, 26, 17)
(3, 54, 27, 16)
(3, 56, 14, 27)
(3, 56, 17, 24)
(3, 56, 24, 17)
(3, 56, 27, 14)
(3, 57, 14, 26)
(3, 57, 16, 24)
(3, 57, 24, 16)
(3, 57, 26, 14)
(4, 13, 26, 57)
(4, 13, 27, 56)
(4, 13, 56, 27)
(4, 13, 57, 26)
(4, 16, 23, 57)
(4, 16, 27, 53)
(4, 16, 53, 27)
(4, 16, 57, 23)
(4, 17, 23, 56)
(4, 17, 26, 53)
(4, 17, 53, 26)
(4, 17, 56, 23)
(4, 23, 16, 57)
(4, 23, 17, 56)
(4, 23, 56, 17)
(4, 23, 57, 16)
(4, 26, 13, 57)
(4, 26, 17, 53)
(4, 26, 53, 17)
(4, 26, 57, 13)
(4, 27, 13, 56)
(4, 27, 16, 53)
(4, 27, 53, 16)
(4, 27, 56, 13)
(4, 53, 16, 27)
(4, 53, 17, 26)
(4, 53, 26, 17)
(4, 53, 27, 16)
(4, 56, 13, 27)
(4, 56, 17, 23)
(4, 56, 23, 17)
(4, 56, 27, 13)
(4, 57, 13, 26)
(4, 57, 16, 23)
(4, 57, 23, 16)
(4, 57, 26, 13)
(5, 12, 36, 47)
(5, 12, 37, 46)
(5, 12, 46, 37)
(5, 12, 47, 36)
(5, 16, 32, 47)
(5, 16, 37, 42)
(5, 16, 42, 37)
(5, 16, 47, 32)
(5, 17, 32, 46)
(5, 17, 36, 42)
(5, 17, 42, 36)
(5, 17, 46, 32)
(5, 32, 16, 47)
(5, 32, 17, 46)
(5, 32, 46, 17)
(5, 32, 47, 16)
(5, 36, 12, 47)
(5, 36, 17, 42)
(5, 36, 42, 17)
(5, 36, 47, 12)
(5, 37, 12, 46)
(5, 37, 16, 42)
(5, 37, 42, 16)
(5, 37, 46, 12)
(5, 42, 16, 37)
(5, 42, 17, 36)
(5, 42, 36, 17)
(5, 42, 37, 16)
(5, 46, 12, 37)
(5, 46, 17, 32)
(5, 46, 32, 17)
(5, 46, 37, 12)
(5, 47, 12, 36)
(5, 47, 16, 32)
(5, 47, 32, 16)
(5, 47, 36, 12)
(6, 12, 35, 47)
(6, 12, 37, 45)
(6, 12, 45, 37)
(6, 12, 47, 35)
(6, 13, 24, 57)
(6, 13, 27, 54)
(6, 13, 54, 27)
(6, 13, 57, 24)
(6, 14, 23, 57)
(6, 14, 27, 53)
(6, 14, 53, 27)
(6, 14, 57, 23)
(6, 15, 32, 47)
(6, 15, 37, 42)
(6, 15, 42, 37)
(6, 15, 47, 32)
(6, 17, 23, 54)
(6, 17, 24, 53)
(6, 17, 32, 45)
(6, 17, 35, 42)
(6, 17, 42, 35)
(6, 17, 45, 32)
(6, 17, 53, 24)
(6, 17, 54, 23)
(6, 23, 14, 57)
(6, 23, 17, 54)
(6, 23, 54, 17)
(6, 23, 57, 14)
(6, 24, 13, 57)
(6, 24, 17, 53)
(6, 24, 53, 17)
(6, 24, 57, 13)
(6, 27, 13, 54)
(6, 27, 14, 53)
(6, 27, 53, 14)
(6, 27, 54, 13)
(6, 32, 15, 47)
(6, 32, 17, 45)
(6, 32, 45, 17)
(6, 32, 47, 15)
(6, 35, 12, 47)
(6, 35, 17, 42)
(6, 35, 42, 17)
(6, 35, 47, 12)
(6, 37, 12, 45)
(6, 37, 15, 42)
(6, 37, 42, 15)
(6, 37, 45, 12)
(6, 42, 15, 37)
(6, 42, 17, 35)
(6, 42, 35, 17)
(6, 42, 37, 15)
(6, 45, 12, 37)
(6, 45, 17, 32)
(6, 45, 32, 17)
(6, 45, 37, 12)
(6, 47, 12, 35)
(6, 47, 15, 32)
(6, 47, 32, 15)
(6, 47, 35, 12)
(6, 53, 14, 27)
